id,school,park,hospital,veterinary,convenience_store,shopping_mall,bts_station
8,1441,3393,3932,3264,1613,3165,2869
9,1411,2220,5246,2913,3337,1160,3970
12,2708,2275,1910,2496,3333,4237,
14,4213,439,1750,2730,2156,3610,5126
15,4296,6039,2990,3939,4022,703,3953
16,2581,3711,1315,2292,3995,3860,1434
17,952,3192,3620,2209,4475,2540,2486
18,4514,1313,2842,650,1166,1354,1565
19,5171,4778,4997,4030,1918,3625,5480
20,3124,5179,8211,4478,8121,4522,2371
21,3124,5179,8211,4478,8121,4522,2371
